"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Dec 13 20:36:55 GMT 2020","Sun Dec 13 20:36:55 GMT 2020","313","Surefire suite","Surefire test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Sun Dec 13 20:36:54 GMT 2020","Sun Dec 13 20:36:55 GMT 2020","548","Surefire suite","Surefire test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Sun Dec 13 20:36:55 GMT 2020","Sun Dec 13 20:36:55 GMT 2020","276","Surefire suite","Surefire test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Sun Dec 13 20:36:49 GMT 2020","Sun Dec 13 20:36:53 GMT 2020","3928","Surefire suite","Surefire test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Sun Dec 13 20:36:56 GMT 2020","Sun Dec 13 20:36:56 GMT 2020","321","Surefire suite","Surefire test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Sun Dec 13 20:36:55 GMT 2020","Sun Dec 13 20:36:56 GMT 2020","723","Surefire suite","Surefire test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Sun Dec 13 20:36:56 GMT 2020","Sun Dec 13 20:36:57 GMT 2020","345","Surefire suite","Surefire test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Sun Dec 13 20:36:57 GMT 2020","Sun Dec 13 20:36:57 GMT 2020","444","Surefire suite","Surefire test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Sun Dec 13 20:36:53 GMT 2020","Sun Dec 13 20:36:54 GMT 2020","598","Surefire suite","Surefire test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
