"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Feb 19 09:58:49 GMT 2021","Fri Feb 19 09:58:50 GMT 2021","915","Surefire suite","Surefire test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Fri Feb 19 09:58:54 GMT 2021","Fri Feb 19 09:58:56 GMT 2021","1415","Surefire suite","Surefire test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"failed","Fri Feb 19 09:58:52 GMT 2021","Fri Feb 19 09:58:53 GMT 2021","912","Surefire suite","Surefire test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Fri Feb 19 09:58:50 GMT 2021","Fri Feb 19 09:58:51 GMT 2021","936","Surefire suite","Surefire test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Fri Feb 19 09:58:53 GMT 2021","Fri Feb 19 09:58:54 GMT 2021","901","Surefire suite","Surefire test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Fri Feb 19 09:58:26 GMT 2021","Fri Feb 19 09:58:33 GMT 2021","6577","Surefire suite","Surefire test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"failed","Fri Feb 19 09:58:33 GMT 2021","Fri Feb 19 09:58:43 GMT 2021","10376","Surefire suite","Surefire test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Fri Feb 19 09:58:43 GMT 2021","Fri Feb 19 09:58:49 GMT 2021","5963","Surefire suite","Surefire test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Fri Feb 19 09:58:51 GMT 2021","Fri Feb 19 09:58:52 GMT 2021","1363","Surefire suite","Surefire test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Fri Feb 19 09:58:21 GMT 2021","Fri Feb 19 09:58:26 GMT 2021","5341","Surefire suite","Surefire test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
