"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Dec 20 21:33:09 GMT 2020","Sun Dec 20 21:33:11 GMT 2020","1374","Surefire suite","Surefire test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Sun Dec 20 21:32:58 GMT 2020","Sun Dec 20 21:33:04 GMT 2020","5894","Surefire suite","Surefire test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Sun Dec 20 21:32:37 GMT 2020","Sun Dec 20 21:32:41 GMT 2020","4829","Surefire suite","Surefire test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"failed","Sun Dec 20 21:33:07 GMT 2020","Sun Dec 20 21:33:08 GMT 2020","935","Surefire suite","Surefire test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Sun Dec 20 21:33:08 GMT 2020","Sun Dec 20 21:33:09 GMT 2020","879","Surefire suite","Surefire test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Sun Dec 20 21:32:42 GMT 2020","Sun Dec 20 21:32:48 GMT 2020","6473","Surefire suite","Surefire test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Sun Dec 20 21:33:04 GMT 2020","Sun Dec 20 21:33:05 GMT 2020","890","Surefire suite","Surefire test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Sun Dec 20 21:33:06 GMT 2020","Sun Dec 20 21:33:07 GMT 2020","1344","Surefire suite","Surefire test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Sun Dec 20 21:33:05 GMT 2020","Sun Dec 20 21:33:06 GMT 2020","927","Surefire suite","Surefire test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"failed","Sun Dec 20 21:32:48 GMT 2020","Sun Dec 20 21:32:58 GMT 2020","10163","Surefire suite","Surefire test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
