"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Dec 19 21:51:06 GMT 2020","Sat Dec 19 21:51:10 GMT 2020","4365","Surefire suite","Surefire test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Sat Dec 19 21:51:10 GMT 2020","Sat Dec 19 21:51:11 GMT 2020","584","Surefire suite","Surefire test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Sat Dec 19 21:51:12 GMT 2020","Sat Dec 19 21:51:13 GMT 2020","657","Surefire suite","Surefire test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Sat Dec 19 21:51:13 GMT 2020","Sat Dec 19 21:51:14 GMT 2020","432","Surefire suite","Surefire test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Sat Dec 19 21:51:13 GMT 2020","Sat Dec 19 21:51:13 GMT 2020","336","Surefire suite","Surefire test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Sat Dec 19 21:51:11 GMT 2020","Sat Dec 19 21:51:12 GMT 2020","309","Surefire suite","Surefire test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Sat Dec 19 21:51:11 GMT 2020","Sat Dec 19 21:51:11 GMT 2020","485","Surefire suite","Surefire test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Sat Dec 19 21:51:13 GMT 2020","Sat Dec 19 21:51:13 GMT 2020","314","Surefire suite","Surefire test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Sat Dec 19 21:51:12 GMT 2020","Sat Dec 19 21:51:12 GMT 2020","342","Surefire suite","Surefire test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
