"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Dec 13 20:05:56 GMT 2020","Sun Dec 13 20:05:57 GMT 2020","740","Surefire suite","Surefire test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Sun Dec 13 20:05:53 GMT 2020","Sun Dec 13 20:05:54 GMT 2020","708","Surefire suite","Surefire test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Sun Dec 13 20:05:50 GMT 2020","Sun Dec 13 20:05:51 GMT 2020","1164","Surefire suite","Surefire test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Sun Dec 13 20:05:57 GMT 2020","Sun Dec 13 20:05:58 GMT 2020","1020","Surefire suite","Surefire test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Sun Dec 13 20:05:52 GMT 2020","Sun Dec 13 20:05:53 GMT 2020","723","Surefire suite","Surefire test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Sun Dec 13 20:05:54 GMT 2020","Sun Dec 13 20:05:55 GMT 2020","1317","Surefire suite","Surefire test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Sun Dec 13 20:05:55 GMT 2020","Sun Dec 13 20:05:56 GMT 2020","703","Surefire suite","Surefire test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Sun Dec 13 20:05:45 GMT 2020","Sun Dec 13 20:05:50 GMT 2020","4988","Surefire suite","Surefire test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Sun Dec 13 20:05:51 GMT 2020","Sun Dec 13 20:05:52 GMT 2020","1121","Surefire suite","Surefire test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
