"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Dec 13 19:11:59 GMT 2020","Sun Dec 13 19:12:00 GMT 2020","360","Surefire suite","Surefire test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Sun Dec 13 19:11:52 GMT 2020","Sun Dec 13 19:11:56 GMT 2020","4344","Surefire suite","Surefire test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Sun Dec 13 19:11:59 GMT 2020","Sun Dec 13 19:11:59 GMT 2020","333","Surefire suite","Surefire test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Sun Dec 13 19:11:58 GMT 2020","Sun Dec 13 19:11:58 GMT 2020","316","Surefire suite","Surefire test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Sun Dec 13 19:11:58 GMT 2020","Sun Dec 13 19:11:58 GMT 2020","342","Surefire suite","Surefire test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Sun Dec 13 19:11:58 GMT 2020","Sun Dec 13 19:11:59 GMT 2020","645","Surefire suite","Surefire test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Sun Dec 13 19:11:57 GMT 2020","Sun Dec 13 19:11:58 GMT 2020","525","Surefire suite","Surefire test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Sun Dec 13 19:11:57 GMT 2020","Sun Dec 13 19:11:57 GMT 2020","573","Surefire suite","Surefire test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Sun Dec 13 19:12:00 GMT 2020","Sun Dec 13 19:12:00 GMT 2020","473","Surefire suite","Surefire test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
