"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Aug 03 13:16:15 GMT 2021","Tue Aug 03 13:16:15 GMT 2021","12","Surefire suite","Surefire test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"broken","Tue Aug 03 13:16:15 GMT 2021","Tue Aug 03 13:16:15 GMT 2021","84","Surefire suite","Surefire test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"broken","Tue Aug 03 13:16:15 GMT 2021","Tue Aug 03 13:16:15 GMT 2021","31","Surefire suite","Surefire test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"broken","Tue Aug 03 13:16:14 GMT 2021","Tue Aug 03 13:16:14 GMT 2021","13","Surefire suite","Surefire test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"broken","Tue Aug 03 13:16:15 GMT 2021","Tue Aug 03 13:16:15 GMT 2021","21","Surefire suite","Surefire test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"broken","Tue Aug 03 13:16:14 GMT 2021","Tue Aug 03 13:16:14 GMT 2021","84","Surefire suite","Surefire test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"broken","Tue Aug 03 13:16:14 GMT 2021","Tue Aug 03 13:16:14 GMT 2021","113","Surefire suite","Surefire test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"broken","Tue Aug 03 13:16:11 GMT 2021","Tue Aug 03 13:16:14 GMT 2021","2734","Surefire suite","Surefire test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"broken","Tue Aug 03 13:16:14 GMT 2021","Tue Aug 03 13:16:15 GMT 2021","62","Surefire suite","Surefire test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"broken","Tue Aug 03 13:16:14 GMT 2021","Tue Aug 03 13:16:14 GMT 2021","81","Surefire suite","Surefire test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
