"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Dec 13 20:16:53 GMT 2020","Sun Dec 13 20:16:55 GMT 2020","1196","Surefire suite","Surefire test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Sun Dec 13 20:16:49 GMT 2020","Sun Dec 13 20:16:53 GMT 2020","4270","Surefire suite","Surefire test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Sun Dec 13 20:17:00 GMT 2020","Sun Dec 13 20:17:01 GMT 2020","1016","Surefire suite","Surefire test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Sun Dec 13 20:16:55 GMT 2020","Sun Dec 13 20:16:56 GMT 2020","1151","Surefire suite","Surefire test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Sun Dec 13 20:16:56 GMT 2020","Sun Dec 13 20:16:57 GMT 2020","742","Surefire suite","Surefire test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Sun Dec 13 20:16:57 GMT 2020","Sun Dec 13 20:16:57 GMT 2020","719","Surefire suite","Surefire test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Sun Dec 13 20:16:58 GMT 2020","Sun Dec 13 20:16:59 GMT 2020","907","Surefire suite","Surefire test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Sun Dec 13 20:16:57 GMT 2020","Sun Dec 13 20:16:58 GMT 2020","1036","Surefire suite","Surefire test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Sun Dec 13 20:16:59 GMT 2020","Sun Dec 13 20:17:00 GMT 2020","768","Surefire suite","Surefire test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
