"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Dec 13 19:37:24 GMT 2020","Sun Dec 13 19:37:25 GMT 2020","1159","Surefire suite","Surefire test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Sun Dec 13 19:37:25 GMT 2020","Sun Dec 13 19:37:26 GMT 2020","1101","Surefire suite","Surefire test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Sun Dec 13 19:37:29 GMT 2020","Sun Dec 13 19:37:30 GMT 2020","694","Surefire suite","Surefire test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Sun Dec 13 19:37:27 GMT 2020","Sun Dec 13 19:37:28 GMT 2020","702","Surefire suite","Surefire test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Sun Dec 13 19:37:31 GMT 2020","Sun Dec 13 19:37:32 GMT 2020","1023","Surefire suite","Surefire test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Sun Dec 13 19:37:28 GMT 2020","Sun Dec 13 19:37:29 GMT 2020","1343","Surefire suite","Surefire test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Sun Dec 13 19:37:20 GMT 2020","Sun Dec 13 19:37:24 GMT 2020","4566","Surefire suite","Surefire test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Sun Dec 13 19:37:26 GMT 2020","Sun Dec 13 19:37:27 GMT 2020","713","Surefire suite","Surefire test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Sun Dec 13 19:37:30 GMT 2020","Sun Dec 13 19:37:31 GMT 2020","739","Surefire suite","Surefire test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
